policy_step,sim_time,obs_0,obs_1,obs_2,obs_3,obs_4,obs_5,obs_6,obs_7,obs_8,obs_9,obs_10,obs_11,obs_12,obs_13,obs_14,obs_15,obs_16,obs_17,obs_18,obs_19,obs_20,obs_21,obs_22,obs_23,obs_24,obs_25,obs_26,obs_27,obs_28,obs_29,obs_30,obs_31,obs_32,obs_33,raw_action_0,raw_action_1,raw_action_2,raw_action_3,raw_action_4,raw_action_5,leg_target_servo2,leg_target_servo1,leg_target_servo4,leg_target_servo3,wheel_velocity_target_wheel1,wheel_velocity_target_wheel2,applied_ctrl_servo2,applied_ctrl_servo1,applied_ctrl_servo4,applied_ctrl_servo3,applied_ctrl_wheel1,applied_ctrl_wheel2,actuator_force_servo2,actuator_force_servo1,actuator_force_servo4,actuator_force_servo3,actuator_force_wheel1,actuator_force_wheel2
10,0.2000000000000001,-0.008917267434298992,0.0015042321756482124,0.0030713386368006468,0.002667879918590188,-0.5548943877220154,0.02704804018139839,-0.19089314341545105,5.035895446781069e-05,-0.9816108345985413,0.0,0.0,0.0,0.27000001072883606,0.0,0.273214727640152,-5.130236240802333e-05,0.42574822902679443,0.4130704402923584,0.12417113780975342,0.11845850944519043,-0.9831411838531494,-0.9030470252037048,1.3121094703674316,1.3041273355484009,0.4328022599220276,0.4008285701274872,-4.059664249420166,-3.8063156604766846,1.2306122779846191,0.20654165744781494,1.2959668636322021,0.2074144184589386,-0.5069708824157715,-0.47311604022979736,1.2674791812896729,0.2038435935974121,1.3185049295425415,0.20455405116081238,-0.4156111180782318,-0.39187943935394287,1.5700000524520874,-1.645195484161377,1.5700000524520874,-1.6443073749542236,-3.3248889446258545,-3.135035514831543,1.5700000524520874,-1.6418229341506958,1.5700000524520874,-1.640731930732727,-4.055767059326172,-3.784928321838379,-0.1767310167947791,0.4937943384087795,-0.03448137838444687,0.6222810815202529,0.018497314124516606,0.05183555998416445
11,0.2200000000000001,-0.013021259568631649,0.0013146449346095324,0.0016870576655492187,0.0028396828565746546,-0.5842248797416687,0.023417245596647263,-0.20209868252277374,9.407607285538688e-05,-0.9793651700019836,0.0,0.0,0.0,0.27000001072883606,0.0,0.2731727361679077,-9.605821833247319e-05,0.45009303092956543,0.43746793270111084,0.13146793842315674,0.12529540061950684,-1.0506281852722168,-0.9669466018676758,1.1832300424575806,1.1856675148010254,0.37236765027046204,0.34815713763237,-3.333482503890991,-3.158442735671997,1.2674791812896729,0.2038435935974121,1.3185049295425415,0.20455405116081238,-0.4156111180782318,-0.39187943935394287,1.3107110261917114,0.20087364315986633,1.3427151441574097,0.20109917223453522,-0.31993618607521057,-0.3071810007095337,1.5700000524520874,-1.6489078998565674,1.5700000524520874,-1.6486259698867798,-2.5594894886016846,-2.4574480056762695,1.5700000524520874,-1.645195484161377,1.5700000524520874,-1.6443073749542236,-3.3248889446258545,-3.135035514831543,-0.1622496409387928,0.5088926326001584,-0.041115698913699816,0.6249288987428905,0.028829773583917806,0.05686274591791296
12,0.24000000000000013,-0.015403511002659798,0.0009720653761178255,0.002189531223848462,0.003207187633961439,-0.627606213092804,0.01924802176654339,-0.2140163779258728,0.00012108071678085253,-0.9768300652503967,0.0,0.0,0.0,0.27000001072883606,0.0,0.2731088101863861,-0.00012395269004628062,0.47199904918670654,0.4596412181854248,0.1375483274459839,0.1310899257659912,-1.1029361486434937,-1.0173518657684326,1.0661141872406006,1.0790319442749023,0.31495949625968933,0.29945626854896545,-2.5724499225616455,-2.4819445610046387,1.3107110261917114,0.20087364315986633,1.3427151441574097,0.20109917223453522,-0.31993618607521057,-0.3071810007095337,1.360296368598938,0.1980678290128708,1.3678592443466187,0.19920772314071655,-0.2244722694158554,-0.2235216349363327,1.5700000524520874,-1.652415156364441,1.5700000524520874,-1.65099036693573,-1.7957781553268433,-1.7881730794906616,1.5700000524520874,-1.6489078998565674,1.5700000524520874,-1.6486259698867798,-2.5594894886016846,-2.4574480056762695,-0.1468834491567197,0.526821355723321,-0.04926419535687465,0.6227530485665014,0.03849317742856151,0.05991083074799075
13,0.2600000000000001,-0.0157920029014349,0.000813924300018698,0.004534041974693537,0.0027506109327077866,-0.6807200312614441,0.015464072115719318,-0.22686505317687988,0.0001382845948683098,-0.9739261865615845,0.0,0.0,0.0,0.27000001072883606,0.0,0.2730666995048523,-0.00014198673306964338,0.4917033910751343,0.47981560230255127,0.1426081657409668,0.1361064910888672,-1.1400421857833862,-1.0543826818466187,0.9600587487220764,0.9826904535293579,0.26657456159591675,0.26377129554748535,-1.8120918273925781,-1.813193440437317,1.360296368598938,0.1980678290128708,1.3678592443466187,0.19920772314071655,-0.2244722694158554,-0.2235216349363327,1.4123846292495728,0.1957746148109436,1.3904165029525757,0.1979607343673706,-0.1349542886018753,-0.14434216916561127,1.5700000524520874,-1.655281662940979,1.5700000524520874,-1.6525490283966064,-1.0796343088150024,-1.1547373533248901,1.5700000524520874,-1.652415156364441,1.5700000524520874,-1.65099036693573,-1.7957781553268433,-1.7881730794906616,-0.13178916692602805,0.5383038962943409,-0.05825041282145449,0.6217527868832313,0.04564491490877387,0.061462472533615475
14,0.28000000000000014,-0.014188935980200768,0.0006849850178696215,0.007568154949694872,0.0021038183476775885,-0.7324676513671875,0.011891935020685196,-0.2406938523054123,0.00015464461466763169,-0.9706010818481445,0.0,0.0,0.0,0.27000001072883606,0.0,0.27307701110839844,-0.00015932870155666023,0.5094438791275024,0.4981800317764282,0.14686179161071777,0.14055180549621582,-1.1628228425979614,-1.0787074565887451,0.8646732568740845,0.8950068950653076,0.22712641954421997,0.23611874878406525,-1.0982080698013306,-1.179597020149231,1.4123846292495728,0.1957746148109436,1.3904165029525757,0.1979607343673706,-0.1349542886018753,-0.14434216916561127,1.458381175994873,0.1942053586244583,1.4065322875976562,0.19669023156166077,-0.054052628576755524,-0.0705217719078064,1.5700000524520874,-1.657243251800537,1.5700000524520874,-1.654137134552002,-0.4324210286140442,-0.5641741752624512,1.5700000524520874,-1.655281662940979,1.5700000524520874,-1.6525490283966064,-1.0796343088150024,-1.1547373533248901,-0.11892908696668414,0.5451365998220581,-0.06659712496095871,0.6168020206604368,0.04970751251032324,0.06099365646182875
15,0.30000000000000016,-0.010957511141896248,0.0004334726254455745,0.010425121523439884,0.0018710574368014932,-0.7772353887557983,0.008440571837127209,-0.25539377331733704,0.00016510342538822442,-0.9668371081352234,0.0,0.0,0.0,0.27000001072883606,0.0,0.273150771856308,-0.00017076653602998704,0.5254377126693726,0.5148868560791016,0.15049266815185547,0.1445235013961792,-1.1726133823394775,-1.091162919998169,0.7794415950775146,0.8145052790641785,0.19577497243881226,0.21201816201210022,-0.45236364006996155,-0.5884149670600891,1.458381175994873,0.1942053586244583,1.4065322875976562,0.19669023156166077,-0.054052628576755524,-0.0705217719078064,1.493751049041748,0.1924416422843933,1.4144072532653809,0.19417153298854828,0.01742323860526085,-0.0023370981216430664,1.5700000524520874,-1.6594479084014893,1.5700000524520874,-1.6572855710983276,0.1393859088420868,-0.01869678497314453,1.5700000524520874,-1.657243251800537,1.5700000524520874,-1.654137134552002,-0.4324210286140442,-0.5641741752624512,-0.10912110123811836,0.5504124524577918,-0.07280916240327429,0.6082382485843851,0.0515175021129165,0.05930240423537603
16,0.3200000000000002,-0.006702778860926628,4.212778003420681e-05,0.012099888175725937,0.0021911649964749813,-0.8096739649772644,0.005224188324064016,-0.2707519233226776,0.0001587482402101159,-0.9626491665840149,0.0,0.0,0.0,0.27000001072883606,0.0,0.2732795178890228,-0.00016490767302457243,0.5398832559585571,0.5300685167312622,0.1535564661026001,0.14796745777130127,-1.170893669128418,-1.0926350355148315,0.7036697864532471,0.740190863609314,0.16588178277015686,0.18392279744148254,0.11885865777730942,-0.041957587003707886,1.493751049041748,0.1924416422843933,1.4144072532653809,0.19417153298854828,0.01742323860526085,-0.0023370981216430664,1.5182523727416992,0.18991133570671082,1.4143840074539185,0.1904308944940567,0.07857538014650345,0.05910000205039978,1.5700000524520874,-1.6626107692718506,1.5700000524520874,-1.661961317062378,0.6286030411720276,0.47280001640319824,1.5700000524520874,-1.6594479084014893,1.5700000524520874,-1.6572855710983276,0.1393859088420868,-0.01869678497314453,-0.10278704753380019,0.5551407459870177,-0.07634561089696135,0.5963605016064442,0.051394875520925726,0.05654138938522825
17,0.3400000000000002,-0.0017835170729085803,-0.00033929661731235683,0.01216811966150999,0.002715490525588393,-0.8264943957328796,0.002779338974505663,-0.28647884726524353,0.00013024151849094778,-0.9580865502357483,0.0,0.0,0.0,0.27000001072883606,0.0,0.273441880941391,-0.000135939204483293,0.5529630184173584,0.543840765953064,0.15604376792907715,0.15079283714294434,-1.1592886447906494,-1.084190011024475,0.6366788148880005,0.6711864471435547,0.13474756479263306,0.15090462565422058,0.6083196997642517,0.4505707621574402,1.5182523727416992,0.18991133570671082,1.4143840074539185,0.1904308944940567,0.07857538014650345,0.05910000205039978,1.532928228378296,0.18659552931785583,1.4080488681793213,0.18623794615268707,0.13040918111801147,0.11255581676959991,1.5700000524520874,-1.6667555570602417,1.5700000524520874,-1.6672025918960571,1.0432734489440918,0.9004465341567993,1.5700000524520874,-1.6626107692718506,1.5700000524520874,-1.661961317062378,0.6286030411720276,0.47280001640319824,-0.10029026119842754,0.5579375726375204,-0.07664274779938651,0.5848110478930941,0.049362690022703326,0.053401426926966256
18,0.3600000000000002,0.00354873132891953,-0.0005361681105569005,0.010812221094965935,0.0029573533684015274,-0.8289601802825928,0.0015064863255247474,-0.3022799789905548,8.627336501376703e-05,-0.9532191753387451,0.0,0.0,0.0,0.27000001072883606,0.0,0.27361544966697693,-9.050737571669742e-05,0.5648210048675537,0.5563219785690308,0.15793335437774658,0.15297412872314453,-1.1392873525619507,-1.0670950412750244,0.5767799615859985,0.607774019241333,0.10271164774894714,0.1170073077082634,1.0237573385238647,0.8792732357978821,1.532928228378296,0.18659552931785583,1.4080488681793213,0.18623794615268707,0.13040918111801147,0.11255581676959991,1.5387667417526245,0.1829238086938858,1.3978698253631592,0.1817518174648285,0.1746916025876999,0.15803147852420807,1.5700000524520874,-1.6713452339172363,1.5700000524520874,-1.6728101968765259,1.3975328207015991,1.2642518281936646,1.5700000524520874,-1.6667555570602417,1.5700000524520874,-1.6672025918960571,1.0432734489440918,0.9004465341567993,-0.09958663328260542,0.5588127512805094,-0.07533366551174225,0.5759682696746538,0.04641595119623654,0.050093896639491486
19,0.3800000000000002,0.009015640243887901,-0.0006140267360024154,0.008376086130738258,0.0029282509349286556,-0.8205113410949707,0.0007421472109854221,-0.3179166316986084,3.633485175669193e-05,-0.9481186866760254,0.0,0.0,0.0,0.27000001072883606,0.0,0.27378255128860474,-3.8323105400195345e-05,0.5755672454833984,0.5676344633102417,0.15922212600708008,0.15452897548675537,-1.112113356590271,-1.0426234006881714,0.5223217606544495,0.5504001975059509,0.07113736122846603,0.08431275188922882,1.3788543939590454,1.2444010972976685,1.5387667417526245,0.1829238086938858,1.3978698253631592,0.1817518174648285,0.1746916025876999,0.15803147852420807,1.5374935865402222,0.1790045201778412,1.3859505653381348,0.17741671204566956,0.21220195293426514,0.1966833919286728,1.5700000524520874,-1.6762442588806152,1.5700000524520874,-1.6782290935516357,1.697615623474121,1.5734671354293823,1.5700000524520874,-1.6713452339172363,1.5700000524520874,-1.6728101968765259,1.3975328207015991,1.2642518281936646,-0.09853932920872133,0.5608783788606928,-0.07434928337596958,0.5675464266880681,0.043621619844676385,0.0462785497403444
