step,sim_time,obs_0,obs_1,obs_2,obs_3,obs_4,obs_5,obs_6,obs_7,obs_8,obs_9,obs_10,obs_11,obs_12,obs_13,obs_14,obs_15,obs_16,obs_17,obs_18,obs_19,obs_20,obs_21,obs_22,obs_23,obs_24,obs_25,obs_26,obs_27,obs_28,obs_29,obs_30,obs_31,obs_32,obs_33,action_0,action_1,action_2,action_3,action_4,action_5,root_pos_w_0,root_pos_w_1,root_pos_w_2,root_quat_w_0,root_quat_w_1,root_quat_w_2,root_quat_w_3,root_lin_vel_b_0,root_lin_vel_b_1,root_lin_vel_b_2,root_ang_vel_b_0,root_ang_vel_b_1,root_ang_vel_b_2,joint_pos_servo2,joint_pos_servo1,joint_pos_servo4,joint_pos_servo3,joint_pos_wheel1,joint_pos_wheel2,joint_vel_servo2,joint_vel_servo1,joint_vel_servo4,joint_vel_servo3,joint_vel_wheel1,joint_vel_wheel2,applied_torque_0,applied_torque_1,applied_torque_2,applied_torque_3,applied_torque_4,applied_torque_5
10,0.22,-0.3128657639026642,-0.0072278729639947414,-2.238954782485962,0.015879226848483086,-0.5309767127037048,0.03202603757381439,-0.18837691843509674,-0.0031265486031770706,-0.9820918440818787,0.0,0.0,0.0,0.27000001072883606,0.0,0.5184582471847534,0.0031835492700338364,-0.0019336342811584473,-0.0051648616790771484,0.7322165966033936,0.6907490491867065,-0.12211252003908157,0.3127225935459137,3.4650750160217285,3.487710475921631,-3.909780979156494,-3.9218850135803223,-5.151750564575195,-3.8185276985168457,0.8383089303970337,-0.029940329492092133,0.6166888475418091,-0.0657687783241272,-0.649095892906189,-0.48280543088912964,0.9341772794723511,0.01979248598217964,0.7147414684295654,-0.014552246779203415,-0.9163262844085693,-0.7859453558921814,0.017542285844683647,-0.0007778786821290851,0.47118186950683594,0.0008863304392434657,-0.09947877377271652,-0.0075364187359809875,0.9950107336044312,-0.35117897391319275,-0.007316625211387873,-2.413996696472168,0.014338374137878418,-0.3534526526927948,0.041327521204948425,0.9630077481269836,-1.2355190515518188,0.9602795839309692,-1.2769780158996582,-0.2458142191171646,0.21299415826797485,3.1295626163482666,-3.2423291206359863,3.159355878829956,-3.2356162071228027,-7.2868804931640625,-6.2353949546813965,-0.23373842239379883,-0.27941131591796875,-0.08123779296875,-0.1246347427368164,-0.5882329940795898,-0.6652851104736328
11,0.24,-0.35117897391319275,-0.007316625211387873,-2.413996696472168,0.014338374137878418,-0.3534526526927948,0.041327521204948425,-0.1979515254497528,-0.003263243939727545,-0.980206310749054,0.0,0.0,0.0,0.27000001072883606,0.0,0.47118186950683594,0.0033291273284703493,0.06300777196884155,0.06027960777282715,0.6644809246063232,0.6230219602584839,-0.2458142191171646,0.21299415826797485,3.1295626163482666,3.159355878829956,-3.2423291206359863,-3.2356162071228027,-7.2868804931640625,-6.2353949546813965,0.9341772794723511,0.01979248598217964,0.7147414684295654,-0.014552246779203415,-0.9163262844085693,-0.7859453558921814,0.9707862138748169,0.05933273583650589,0.7790317535400391,0.027399400249123573,-1.143515944480896,-1.0610257387161255,0.02033519744873047,-0.0007977908244356513,0.42029327154159546,0.0009403054136782885,-0.10228296369314194,-0.007094716653227806,0.9947295784950256,-0.38444429636001587,-0.007257166318595409,-2.592885732650757,0.012133002281188965,-0.15106499195098877,0.04857075214385986,1.0216469764709473,-1.292047142982483,1.019479513168335,-1.3331093788146973,-0.40928784012794495,0.06688582897186279,2.8239097595214844,-2.7063567638397217,2.856663227081299,-2.6808323860168457,-9.111806869506836,-8.440217971801758,-0.20313167572021484,-0.26615428924560547,-0.06448793411254883,-0.1266765594482422,-0.4995841979980469,-0.6034564971923828
12,0.26,-0.38444429636001587,-0.007257166318595409,-2.592885732650757,0.012133002281188965,-0.15106499195098877,0.04857075214385986,-0.20347444713115692,-0.0033220364712178707,-0.9790745377540588,0.0,0.0,0.0,0.27000001072883606,0.0,0.42029327154159546,0.003393024206161499,0.12164700031280518,0.11947953701019287,0.6079528331756592,0.5668905973434448,-0.40928784012794495,0.06688582897186279,2.8239097595214844,2.856663227081299,-2.7063567638397217,-2.6808323860168457,-9.111806869506836,-8.440217971801758,0.9707862138748169,0.05933273583650589,0.7790317535400391,0.027399400249123573,-1.143515944480896,-1.0610257387161255,0.9737210869789124,0.0951891839504242,0.8142945170402527,0.06452663987874985,-1.3220411539077759,-1.2760417461395264,0.023481465876102448,-0.0008085364825092256,0.36575374007225037,0.0009749231394380331,-0.10308501124382019,-0.006661645136773586,0.9946497082710266,-0.4129749536514282,-0.007374900393188,-2.774341583251953,0.007890854962170124,0.03527769446372986,0.044630806893110275,1.0745978355407715,-1.3389469385147095,1.0729272365570068,-1.3795113563537598,-0.6055297255516052,-0.11879626661539078,2.5506346225738525,-2.2423908710479736,2.576899766921997,-2.215341567993164,-10.5486478805542,-10.171318054199219,-0.17892694473266602,-0.23189783096313477,-0.0405116081237793,-0.09058666229248047,-0.38956260681152344,-0.4702014923095703
13,0.28,-0.4129749536514282,-0.007374900393188,-2.774341583251953,0.007890854962170124,0.03527769446372986,0.044630806893110275,-0.20505395531654358,-0.003312845714390278,-0.9787448644638062,0.0,0.0,0.0,0.27000001072883606,0.0,0.36575374007225037,0.003384775947779417,0.1745978593826294,0.17292726039886475,0.5610530376434326,0.5204886198043823,-0.6055297255516052,-0.11879626661539078,2.5506346225738525,2.576899766921997,-2.2423908710479736,-2.215341567993164,-10.5486478805542,-10.171318054199219,0.9737210869789124,0.0951891839504242,0.8142945170402527,0.06452663987874985,-1.3220411539077759,-1.2760417461395264,0.9605141878128052,0.13375449180603027,0.8317344188690186,0.10354932397603989,-1.4646501541137695,-1.4393867254257202,0.027596836909651756,-0.0014089839532971382,0.31012964248657227,0.0019279241096228361,-0.09635808318853378,-0.0064509715884923935,0.9953239560127258,0.24172350764274597,0.02035287581384182,-1.0641206502914429,-0.561251163482666,5.521108627319336,-0.89315265417099,1.1305301189422607,-1.390467882156372,1.120735764503479,-1.4181545972824097,-0.821788489818573,-0.3300216794013977,5.523248195648193,-10.146982192993164,3.073801279067993,-6.905631065368652,-10.627386093139648,-9.570079803466797,-0.16241455078125,-0.19576168060302734,-0.03192281723022461,-0.060506582260131836,-0.3085784912109375,-0.35523414611816406
14,0.3,0.24172350764274597,0.02035287581384182,-1.0641206502914429,-0.561251163482666,5.521108627319336,-0.89315265417099,-0.1917901486158371,-0.00508102448657155,-0.9814227819442749,0.0,0.0,0.0,0.27000001072883606,0.0,0.31012964248657227,0.005177156534045935,0.23053014278411865,0.22073578834533691,0.50953209400177,0.4818453788757324,-0.821788489818573,-0.3300216794013977,5.523248195648193,3.073801279067993,-10.146982192993164,-6.905631065368652,-10.627386093139648,-9.570079803466797,0.9605141878128052,0.13375449180603027,0.8317344188690186,0.10354932397603989,-1.4646501541137695,-1.4393867254257202,0.524329423904419,0.21735619008541107,0.45553839206695557,0.24626904726028442,0.5536571741104126,0.324931800365448,0.033590491861104965,0.001468417001888156,0.29357674717903137,-0.002705903258174658,-0.053420212119817734,-0.007938876748085022,0.9985368251800537,0.004364222288131714,0.12816157937049866,-0.7440999150276184,-0.20347055792808533,3.1397171020507812,0.3229372203350067,1.201846957206726,-1.5418879985809326,1.1725506782531738,-1.5493932962417603,-0.9082844853401184,-0.4344933331012726,2.3335378170013428,-7.2453694343566895,2.203528642654419,-6.369889259338379,3.628227949142456,1.9473036527633667,-2.0,-0.2948307991027832,2.0,2.0,4.5555806159973145,4.733653545379639
15,0.32,0.004364222288131714,0.12816157937049866,-0.7440999150276184,-0.20347055792808533,3.1397171020507812,0.3229372203350067,-0.10672705620527267,0.004555694758892059,-0.9942776560783386,0.0,0.0,0.0,0.27000001072883606,0.0,0.29357674717903137,-0.00458188122138381,0.301846981048584,0.27255070209503174,0.3581119775772095,0.35060667991638184,-0.9082844853401184,-0.4344933331012726,2.3335378170013428,2.203528642654419,-7.2453694343566895,-6.369889259338379,3.628227949142456,1.9473036527633667,0.524329423904419,0.21735619008541107,0.45553839206695557,0.24626904726028442,0.5536571741104126,0.324931800365448,0.2552533745765686,0.1090933233499527,0.2100330889225006,0.11808168888092041,1.4326499700546265,1.298197627067566,0.03366648405790329,0.0031421498861163855,0.2822054624557495,-0.004720253869891167,-0.030646182596683502,-0.0053395554423332214,0.999504804611206,-0.12012428045272827,0.06647473573684692,-0.48697227239608765,-0.19011563062667847,1.249387502670288,0.23325279355049133,1.2164345979690552,-1.6740270853042603,1.184494972229004,-1.6629782915115356,-0.7621800303459167,-0.31765440106391907,0.3384981155395508,-6.270881175994873,0.17936624586582184,-5.491625785827637,11.018675804138184,9.870431900024414,0.1943378448486328,0.15266641974449158,2.0,2.0,2.6319732666015625,2.8234729766845703
16,0.34,-0.12012428045272827,0.06647473573684692,-0.48697227239608765,-0.19011563062667847,1.249387502670288,0.23325279355049133,-0.06131242215633392,0.009108558297157288,-0.9980767369270325,0.0,0.0,0.0,0.27000001072883606,0.0,0.2822054624557495,-0.009125854820013046,0.3164346218109131,0.2844949960708618,0.22597289085388184,0.23702168464660645,-0.7621800303459167,-0.31765440106391907,0.3384981155395508,0.17936624586582184,-6.270881175994873,-5.491625785827637,11.018675804138184,9.870431900024414,0.2552533745765686,0.1090933233499527,0.2100330889225006,0.11808168888092041,1.4326499700546265,1.298197627067566,0.10889790952205658,0.04844587296247482,0.07149416953325272,0.05345328152179718,1.5530043840408325,1.6009680032730103,0.031787846237421036,0.0037662109825760126,0.27458447217941284,-0.005785486660897732,-0.02145848423242569,-0.0047709266655147076,0.9997415542602539,-0.1226118952035904,0.014333185739815235,-0.328522652387619,-0.048316583037376404,0.24265848100185394,0.032162293791770935,1.2024664878845215,-1.7769919633865356,1.167029619216919,-1.7571746110916138,-0.5274772644042969,-0.09148607403039932,-0.6988269686698914,-4.449057102203369,-0.889874279499054,-4.272274494171143,12.28732681274414,12.592578887939453,0.1675330400466919,0.4017813205718994,2.0,2.0,0.5677833557128906,1.1909980773925781
17,0.36,-0.1226118952035904,0.014333185739815235,-0.328522652387619,-0.048316583037376404,0.24265848100185394,0.032162293791770935,-0.042961083352565765,0.011363228783011436,-0.9990118741989136,0.0,0.0,0.0,0.27000001072883606,0.0,0.27458447217941284,-0.01137397438287735,0.3024665117263794,0.26702964305877686,0.12300801277160645,0.14282536506652832,-0.5274772644042969,-0.09148607403039932,-0.6988269686698914,-0.889874279499054,-4.449057102203369,-4.272274494171143,12.28732681274414,12.592578887939453,0.10889790952205658,0.04844587296247482,0.07149416953325272,0.05345328152179718,1.5530043840408325,1.6009680032730103,0.020428895950317383,0.029572874307632446,-0.02735614776611328,0.04251668229699135,1.4395908117294312,1.586897373199463,0.029821017757058144,0.0034817701671272516,0.26996177434921265,-0.005254165735095739,-0.021053526550531387,-0.004386390093713999,0.9997549057006836,-0.09532827883958817,-0.026875857263803482,-0.17822480201721191,0.10927736759185791,-0.370074063539505,0.030096160247921944,1.1752554178237915,-1.8407857418060303,1.1378076076507568,-1.8225188255310059,-0.28895261883735657,0.16208909451961517,-1.3366421461105347,-2.4291491508483887,-1.4382095336914062,-2.666191816329956,11.441965103149414,12.62341022491455,0.2151806354522705,0.018519878387451172,2.0,2.0,-0.14226531982421875,0.1314716339111328
18,0.38,-0.09532827883958817,-0.026875857263803482,-0.17822480201721191,0.10927736759185791,-0.370074063539505,0.030096160247921944,-0.042142827063798904,0.010321058332920074,-0.9990582466125488,0.0,0.0,0.0,0.27000001072883606,0.0,0.26996177434921265,-0.010330419056117535,0.2752554416656494,0.23780763149261475,0.059214234352111816,0.07748115062713623,-0.28895261883735657,0.16208909451961517,-1.3366421461105347,-1.4382095336914062,-2.4291491508483887,-2.666191816329956,11.441965103149414,12.62341022491455,0.020428895950317383,0.029572874307632446,-0.02735614776611328,0.04251668229699135,1.4395908117294312,1.586897373199463,-0.023828312754631042,0.023102544248104095,-0.07482059299945831,0.04540247097611427,1.252717137336731,1.4181618690490723,0.028118731454014778,0.00247358251363039,0.26834166049957275,-0.0033610695973038673,-0.02821912057697773,-0.004101263824850321,0.9995876550674438,-0.06772390753030777,-0.05822184681892395,-0.024679992347955704,0.23064391314983368,-0.9749204516410828,0.024802660569548607,1.1428334712982178,-1.8653247356414795,1.105150580406189,-1.8553624153137207,-0.07389169931411743,0.4031400680541992,-1.591691493988037,-0.5125417709350586,-1.5689492225646973,-1.0049655437469482,9.972769737243652,11.355106353759766,0.28229546546936035,-0.2061758041381836,1.775658130645752,2.0,-0.3471813201904297,-0.4119529724121094
19,0.4,-0.06772390753030777,-0.05822184681892395,-0.024679992347955704,0.23064391314983368,-0.9749204516410828,0.024802660569548607,-0.056442540138959885,0.006487899459898472,-0.9983845949172974,0.0,0.0,0.0,0.27000001072883606,0.0,0.26834166049957275,-0.006498304661363363,0.24283349514007568,0.20515060424804688,0.0346752405166626,0.04463756084442139,-0.07389169931411743,0.4031400680541992,-1.591691493988037,-1.5689492225646973,-0.5125417709350586,-1.0049655437469482,9.972769737243652,11.355106353759766,-0.023828312754631042,0.023102544248104095,-0.07482059299945831,0.04540247097611427,1.252717137336731,1.4181618690490723,-0.037011995911598206,0.01176416128873825,-0.07848050445318222,0.03209239989519119,0.9757711887359619,1.0881993770599365,0.02687813900411129,0.0015337236691266298,0.26837512850761414,-0.0016113878227770329,-0.038251299411058426,-0.003958168905228376,0.9992589950561523,-0.03278383985161781,-0.03938129171729088,0.0016029851976782084,0.15238834917545319,-0.7605271935462952,-0.006286682095378637,1.1133308410644531,-1.8684988021850586,1.0748324394226074,-1.8655956983566284,0.10657928138971329,0.6065488457679749,-1.4016647338867188,-0.07714613527059555,-1.4528250694274902,-0.3613840639591217,7.900407791137695,8.826546669006348,-0.04635810852050781,-0.2596249580383301,-0.1508810818195343,0.7122461199760437,-0.8156528472900391,-1.0070743560791016
